occupation_item_id	count	text_data	context	class_type
13219330	14	convict	person found guilty of a crime and sentenced by a court	occupation
17456111	16	pornographic film producer	person who supervises the overall process, creative and financial, of making pornographic films	occupation
17505002	78	historian of student	humanist who is engaged in history of student	occupation
2194191	210			occupation
4459623	123	toxicologist	scientist who deals with toxicology	occupation
268218	3	Emperor of China	sovereign of Imperial China	occupation
15977509	294	industrial designer	profession	occupation
26837361	5	sports team owner	occupation	occupation
11417	15	martial arts	codified systems and traditions of combat practices	occupation
1729188	31	T4-Gutachter		occupation
45722	92	cardinal	senior ecclesiastical official of the Catholic Church	occupation
45353837	181	ci lyric writer	person who writes and publishes ci lyric	occupation
41496390	4	Klingonist	Person who speaks or uses the klingon language	occupation
1706722	503	research fellow	employees or officials at a university or a research institute, which do research	occupation
12146498	3	rab mahanat		occupation
500097	2116	musher	dog musher	occupation
28813302	74	clean-up artist	animation role	occupation
48146261	485	kabuki actor		occupation
17519504	40	kitesurfer	practitioner of kitesurfing	occupation
13382487	223	windsurfer	sportsperson taking part in windsurfing competitions	occupation
692343	6	Praetorian prefect	position	occupation
2912782	5	proconsul	governor of a province in the Roman republic	occupation
978044	291	executive	higher level corporate position generally charged with leading or overseeing others	occupation
15041977	354	rugby union coach		occupation
28709693	11	Iliad's translator		occupation
18342390	20	petrographer	person specializing in petrography, a branch of petrology	occupation
1155081	46	seminarian	someone who is studying at a seminary, and who is discerning the call to the Roman Catholic priesthood	occupation
208217	24	literary studies	scientific study of the literature	occupation
16741013	15	art thief		occupation
48072011	751	business theorist		occupation
16849727	177	business consultant	professional who provides advice on running and managing a business or business process	occupation
3153559	56	music interpreter	musical performer	occupation
18714098	17	Greek vase-painter	ancient Greek artist	occupation
715679	57	patent inventor	person, or persons in United States patent law, who contribute to the claims of a patentable invention	occupation
1658894	72	illusionist	artist who masters illusion (includes stage magician and painter)	occupation
58795262	35	demon hunter		occupation
912781	14	space marine		occupation
885444	182	bladesmith	person who uses an anvil and forge to make various types of blades	occupation
188670	2	anarchist communism	form of anarchism	occupation
7623231	64	strength athlete		occupation
1058307	57	vampire hunter	character in folklore and fiction who specializes in finding and destroying vampires	occupation
7892860	67	grocer	bulk seller of food	occupation
42303786	13	blues musician	musican who plays blues	occupation
1404030	44	mobster		occupation
67164844	27			occupation
1383594	34	executive officer	first officer	occupation
767703	6	breakdancer	person who performs breakdance	occupation
20083902	33	viola d'amore player	person who plays the viola d'amore	occupation
1639239	40	hatter	person engaged in hatmaking	occupation
1131236	88	apothecary	historical name for a medical professional now called a pharmacist	occupation
352842	9	teaching	activity of imparting knowledge and skills	occupation
543796	2	Superintendent	Wikimedia disambiguation page	occupation
2596569	70	housekeeper	domestic worker responsible for running the household, in charge of housemaids	occupation
4421425	22	fairy tales writer		occupation
10949665	31	auditor	person who conducts an audit	occupation
17375135	89	oenologist	oenology expert	occupation
695829	59	Real estate development	multifaceted business encompassing activities related to buildings and land	occupation
13210922	100	turkologist		occupation
401642	9	stylite	form of Christian asceticism involving living on a pillar	occupation
2276446	46	domestic worker cook	food-prepating domestic worker	occupation
30185	787	mayor	head of municipal government such as a town or city	occupation
2024200	57	telegraphist	operator who uses a telegraph key to send and receive the Morse code in order to communicate by land lines or radio	occupation
1392297	6	train dispatcher	profession	occupation
21094885	18	undergraduate student	student receiving postsecondary education but before postgraduate education	occupation
17763739	4	justice minister	justice minister of a state	occupation
4018482	10	education minister	minister in charge of education matters	occupation
31153275	4	lordship of Segorbe	head of the manor of Segorbe	occupation
17040649	24	worship pastor		occupation
2859671	215	rugby union match official		occupation
28949589	6	model agent	person who represents a fashion model, works in a modeling agency	occupation
26261971	23	christian archaeologist		occupation
688576	191	tax advisor	financial expert specially trained in tax law	occupation
2059515	1	Agrogeology		occupation
2588761	7	tradesperson	worker that specializes in a particular trade or craft requiring skill	occupation
29179832	38			occupation
70744319	13	theatre historian	person who studies the history of theatre arts	occupation
1651055	148	hydraulic engineer	profession which engineers water resources	occupation
6491450	213	intendant (government official)	term for public official in non-English-speaking countries	occupation
16335312	125	geochemist		occupation
913603	23	socionom	academic degree	occupation
327055	145	worker	person who works	occupation
212071	738	rector	academic official	occupation
53754070	5	structural geologist	geologist specializing in structural geology	occupation
11284414	34	anime director	person who directs anime	occupation
56073161	29	Origami artist		occupation
14616728	416	runner	sportsperson who runs	occupation
630993	285	bertsolari	profession; a singer of bertso, a musical verse in Basque tradition	occupation
2520871	1			occupation
1436517	30	chief mate	profession	occupation
10694573	1258	textile artist	person who creates art objects using plant, animal, or synthetic fibers	occupation
439103	1		title	occupation
1937950	24	sound design	art and practice of creating sound tracks	occupation
3024424	744	sound designer	someone who works in the field of sound design	occupation
2995983	265	double-bassist	musician who plays the double bass	occupation
474306	195	bellfounder	profession; someone who makes bells	occupation
2802208	18			occupation
64353861	121	jazz bassist	bassist who plays jazz	occupation
890527	119	archer	person who uses a bow and arrow, a practitioner of archery	occupation
217105	38	political prisoner	someone imprisoned because they have opposed or criticized the government responsible for their imprisonment	occupation
43035	21	electrical engineering	field of engineering that deals with electricity	occupation
2837942	19	allergist	physician specially trained to manage and treat allergies	occupation
5367040	2	Elocutionist	horse	occupation
1227199	1			occupation
51792960	25	spatial planner	scientist in the field of spatial planning	occupation
812958	13		Wikimedia disambiguation page	occupation
820043	55	Bergmeister	mine manager or foreman in German-speaking Europe	occupation
23901032	16	Old Testament scholar		occupation
2517044	11	County surveyor		occupation
65936040	2	tactician	person who uses a strategy to achieve a goal	occupation
26972999	2	Bishop of Olomouc		occupation
1238781	2		profession	occupation
18074503	800	installation artist	artist specialized in installation art	occupation
54755137	2			occupation
48942	193	pupil	student in a school	occupation
6005272	18	masseur	person occupied in massaging other people	occupation
936969	71	nanny	person employed to take care of employer's children in employer's home	occupation
21505200	18	Quidditch player	player of wizard sport Quidditch	occupation
1495660	105	food critic	writer who analyzes food or restaurants	occupation
20002503	111	story artist	credit given to writers / storyboard artists on animated films	occupation
5762300	138	storyboard artist	person who creates storyboards for advertising agencies and film productions	occupation
29865383	14	supremus comes	count (leader of a county in the Kingdom)	occupation
65964270	1			occupation
